Local Time,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,Wind Speed
2026-01-01,103.375,664.375,25.891666666666666,62.333333333333336,26.875,26.275000000000002,30.366666666666664,94.66666666666667,0.19166666666666665,1014.5541666666667,87.25,19.558333333333334,11.85
2026-01-02,69.125,878.0833333333334,22.833333333333332,35.166666666666664,25.516666666666666,25.28333333333333,36.199999999999996,100.0,0.041666666666666664,1021.1791666666667,76.0,15.708333333333334,11.158333333333333
2026-01-03,96.08333333333333,766.9583333333334,37.145833333333336,25.875,45.6875,45.4125,50.35833333333333,96.08333333333333,0.0,1021.3708333333334,73.70833333333333,15.950000000000001,6.583333333333333
2026-01-04,148.70833333333334,950.4583333333334,55.425000000000004,29.125,65.1875,64.45,57.050000000000004,90.54166666666667,0.012500000000000002,1018.7583333333333,83.5,17.4375,5.158333333333333
2026-01-05,135.66666666666666,806.125,29.833333333333332,30.541666666666668,31.3125,30.883333333333336,34.7875,99.95833333333333,0.05416666666666667,1020.7624999999999,80.0,15.75,11.941666666666668
2026-01-06,81.45833333333333,921.4166666666666,23.47083333333333,40.083333333333336,30.854166666666668,30.71666666666667,33.416666666666664,89.54166666666667,0.0,1025.175,71.70833333333333,13.820833333333333,10.566666666666666
2026-01-07,100.95833333333333,1475.3333333333333,34.85,51.083333333333336,50.42083333333333,49.887499999999996,43.300000000000004,5.0,0.0,1025.2083333333333,71.375,14.566666666666668,5.995833333333334
2026-01-08,154.70833333333334,1413.2916666666667,43.275,55.125,73.67916666666666,73.0625,47.50833333333333,18.041666666666668,0.0,1024.9708333333333,68.29166666666667,14.795833333333334,5.329166666666667
2026-01-09,168.79166666666666,1247.5416666666667,54.44583333333333,61.125,111.97916666666667,111.29583333333333,72.42916666666666,61.375,0.0,1021.5958333333333,73.125,15.070833333333333,3.6125000000000003
2026-01-10,173.95833333333334,1289.4583333333333,54.92916666666667,57.666666666666664,96.72500000000001,95.2625,61.90416666666667,13.5,0.0,1019.6083333333332,74.41666666666667,15.841666666666667,4.566666666666666
2026-01-11,181.0,1257.1666666666667,56.520833333333336,67.45833333333333,123.16666666666667,122.74166666666667,64.75,26.666666666666668,0.0,1021.85,68.33333333333333,16.945833333333333,5.45
2026-01-12,176.875,1127.8333333333333,51.88333333333333,64.75,98.34583333333335,97.74583333333334,57.56666666666666,30.958333333333332,0.0,1019.1958333333333,76.66666666666667,17.5125,5.691666666666666
2026-01-13,178.375,1250.25,44.37083333333334,85.625,118.16666666666667,117.71666666666665,61.6875,7.041666666666667,0.0,1018.0708333333333,73.54166666666667,18.1875,5.516666666666667
2026-01-14,175.125,674.5,42.76666666666667,69.45833333333333,86.22500000000001,85.38333333333333,53.020833333333336,26.958333333333332,0.0,1014.6166666666667,76.16666666666667,19.325,9.629166666666666
2026-01-15,161.33333333333334,946.0,56.604166666666664,41.0,84.3,82.95,56.729166666666664,84.70833333333333,0.0,1014.7958333333332,82.29166666666667,19.770833333333332,5.145833333333333
2026-01-16,167.04166666666666,563.4166666666666,48.775,43.958333333333336,80.08333333333333,79.12083333333334,47.15416666666667,66.08333333333333,0.0,1011.2041666666668,81.16666666666667,21.279166666666665,9.783333333333333
2026-01-17,157.20833333333334,666.0416666666666,46.416666666666664,39.916666666666664,57.25,56.324999999999996,43.025,75.08333333333333,0.14583333333333334,1010.8916666666668,89.70833333333333,20.425,8.379166666666666
2026-01-18,133.29166666666666,609.2916666666666,33.479166666666664,65.125,48.425000000000004,47.64166666666667,40.391666666666666,62.791666666666664,0.029166666666666664,1010.0708333333333,84.20833333333333,20.995833333333334,8.245833333333334
2026-01-19,144.625,571.0416666666666,30.425,63.333333333333336,56.9125,55.604166666666664,36.11666666666667,67.375,0.016666666666666666,1010.4625,82.33333333333333,21.745833333333334,12.954166666666666
2026-01-20,124.66666666666667,506.375,30.879166666666666,54.791666666666664,36.80416666666667,35.725,31.4375,62.916666666666664,0.10833333333333334,1012.9125,84.54166666666667,21.941666666666666,12.012500000000001
2026-01-21,84.25,699.25,21.945833333333336,25.083333333333332,21.216666666666665,20.804166666666667,29.175,99.45833333333333,0.23333333333333336,1018.0791666666668,76.70833333333333,16.537499999999998,13.904166666666667
2026-01-22,57.083333333333336,757.5833333333334,19.208333333333332,36.875,14.729166666666666,14.483333333333334,26.504166666666666,100.0,0.07083333333333335,1023.3874999999999,77.45833333333333,11.0875,11.512500000000001
2026-01-23,72.45833333333333,941.0416666666666,32.475,34.333333333333336,36.32083333333333,36.28333333333333,42.516666666666666,92.83333333333333,0.0,1023.3458333333333,73.375,12.266666666666666,6.795833333333333
2026-01-24,136.20833333333334,1115.8333333333333,41.94583333333333,12.875,59.887499999999996,59.75833333333333,62.37083333333334,98.375,0.0,1020.9666666666667,81.125,13.554166666666667,5.070833333333334
2026-01-25,155.79166666666666,966.7916666666666,49.512499999999996,27.833333333333332,72.53333333333333,72.19166666666666,62.275,79.95833333333333,0.0,1016.2958333333332,86.29166666666667,17.320833333333333,4.879166666666667
2026-01-26,160.45833333333334,1393.625,57.31666666666666,23.458333333333332,80.625,79.21249999999999,56.979166666666664,79.875,0.14583333333333334,1018.0,91.41666666666667,18.625,4.166666666666667
